latitude,longitude,elevation,ghi,wind_speed,land_cover,population_density,dist_to_city,dist_to_roads,avg_temperature,humidity,dist_to_power_grid,cloud_cover,land_accessibility,environmental_sensitivity,solar_suitability_score
6,68,245.448146275249,5.84630674363809,2.37180431083235,1,63,8.2776011930351,19.2680263270343,29.1818395124158,96.717758417944,8.14034659834592,23.2969920315533,Low,0.997973217517192,0.359843373133624
6,68.5,141.152246584119,5.9850035267361,3.47200473611189,2,306,98.0168494149747,15.837398861063,29.5294925113863,88.7867925926613,0.474776032089095,23.8963720541057,Medium,0.990155627940644,0.828855530741206
6,69,179.862507028239,5.6795542122665,3.05391913713693,2,238,31.5127365815998,9.39518628125432,29.4004583099059,95.0501012715576,24.5759265478043,49.388170537925,Medium,0.992343266176057,0.786554243444003
6,69.5,103.685560509851,5.54220628097345,2.749159748649,2,289,25.8941940625716,18.0020110530111,29.6543814649672,96.3737249886443,1.03889217060973,58.3225651691571,Medium,0.990702537499497,0.767533103025363
6,70,260.57638282437,5.86365258720611,1.94232547229706,1,12,29.8448505070883,46.1741736100126,29.1314120572521,94.4097511210475,3.2749540098559,12.2509588679935,Low,0.999613946193751,0.360911019278971
6,70.5,275.830653399195,5.50835669878893,1.949904367372,2,245,178.642988750349,6.70977274703143,29.0805644886694,79.3773945909732,1.15733505076873,88.9356006528334,Medium,0.992118068122411,0.762845317415616
6,71,298.275888299625,5.31246855731402,1.76530516848621,1,50,94.9452102282869,18.6646414310435,29.0057470390013,87.5227200941751,2.96618990036239,61.9973823281115,Low,0.998391442473962,0.326985341200313
6,71.5,164.716048591455,5.70594940363078,3.3147103158456,1,46,61.2715312495119,43.7769210904132,29.4509465046952,92.2256863891343,18.1814750267665,59.7251730268005,Low,0.998520127076044,0.351204302197557
6,72,132.266062962347,5.19533106452308,2.76836305496759,1,60,17.1582563520293,35.2621394176783,29.5591131234588,96.9615137351736,9.54968701935548,98.7278998384284,Low,0.998069730968754,0.31977546454234
6,72.5,230.278081890939,5.95905464422887,3.03128419653756,1,24,9.02653803245514,13.1483566857026,29.2324063936969,96.7945653778451,2.5789446155331,62.8143977493125,Low,0.999227892387502,0.366783067994225
6,73,146.210309935514,5.55015895395232,1.61427414355936,3,14735,127.190576064243,4.86350115109495,29.512632300215,85.8188392942205,20.5384030629972,92.8959149301185,High,0.525958097076447,0.256211486199126
6,73.5,203.756082123407,5.44622162166575,3.54169774538569,1,47,27.5021954884727,18.3903406004534,29.3208130595886,95.2122196299187,16.1300456146403,28.6256972359792,Low,0.998487955925524,0.335217915362738
6,74,128.331464162874,5.61981215998534,3.22905101368228,3,18425,16.3388751024937,1.9909639407007,29.5722284527904,97.0827978481219,14.0099907674932,24.0129490346498,High,0.407246551654804,0.259426880854364
