latitude,longitude,elevation,wind_speed,land_cover,population_density,dist_to_city,dist_to_roads,avg_temperature,humidity,seasonal_wind_speed,dist_to_power_grid,cloud_cover,land_accessibility,environmental_sensitivity,wind_suitability_score
6,68,245.448146275249,2.37180431083235,1,63,8.2776011930351,19.2680263270343,29.1818395124158,96.717758417944,[2.60627365 2.61125233 2.59558972 2.47503664],8.14034659834592,23.2969920315533,Low,0.997973217517192,0.0882557477192353
6,68.5,141.152246584119,3.47200473611189,2,306,98.0168494149747,15.837398861063,29.5294925113863,88.7867925926613,[3.33244617 3.26792407 2.96011469 3.81949084],0.474776032089095,23.8963720541057,Medium,0.990155627940644,0.516778509374994
6,69,179.862507028239,3.05391913713693,2,238,31.5127365815998,9.39518628125432,29.4004583099059,95.0501012715576,[2.67593498 3.17371369 3.0576525  3.07837128],24.5759265478043,49.388170537925,Medium,0.992343266176057,0.454550007673298
6,69.5,103.685560509851,2.749159748649,2,289,25.8941940625716,18.0020110530111,29.6543814649672,96.3737249886443,[3.10109028 2.3628602  2.97463942 2.37971589],1.03889217060973,58.3225651691571,Medium,0.990702537499497,0.409189152930573
6,70,260.57638282437,1.94232547229706,1,12,29.8448505070883,46.1741736100126,29.1314120572521,94.4097511210475,[1.67320867 1.90143041 1.68773041 2.11080897],3.2749540098559,12.2509588679935,Low,0.999613946193751,0.0722746754817795
6,70.5,275.830653399195,1.949904367372,2,245,178.642988750349,6.70977274703143,29.0805644886694,79.3773945909732,[1.96719793 1.67440557 1.68111045 2.01581222],1.15733505076873,88.9356006528334,Medium,0.992118068122411,0.290226756292598
6,71,298.275888299625,1.76530516848621,1,50,94.9452102282869,18.6646414310435,29.0057470390013,87.5227200941751,[1.9274194  1.73236433 1.79421063 1.92409231],2.96618990036239,61.9973823281115,Low,0.998391442473962,0.0656876821101257
6,71.5,164.716048591455,3.3147103158456,1,46,61.2715312495119,43.7769210904132,29.4509465046952,92.2256863891343,[3.4245991  3.04100829 3.42713073 3.44227309],18.1814750267665,59.7251730268005,Low,0.998520127076044,0.123341641661387
6,72,132.266062962347,2.76836305496759,1,60,17.1582563520293,35.2621394176783,29.5591131234588,96.9615137351736,[2.96279099 2.86875015 3.15807283 2.5169583 ],9.54968701935548,98.7278998384284,Low,0.998069730968754,0.103011850623009
6,72.5,230.278081890939,3.03128419653756,1,24,9.02653803245514,13.1483566857026,29.2324063936969,96.7945653778451,[3.44149941 3.06614956 3.18765858 2.66704048],2.5789446155331,62.8143977493125,Low,0.999227892387502,0.112795247100735
6,73,146.210309935514,1.61427414355936,3,14735,127.190576064243,4.86350115109495,29.512632300215,85.8188392942205,[1.55643919 1.74472968 1.71447747 1.39157181],20.5384030629972,92.8959149301185,High,0.525958097076447,0.0901016396544508
6,73.5,203.756082123407,3.54169774538569,1,47,27.5021954884727,18.3903406004534,29.3208130595886,95.2122196299187,[3.59120458 3.10423949 4.06854982 3.96382907],16.1300456146403,28.6256972359792,Low,0.998487955925524,0.131787930938051
6,74,128.331464162874,3.22905101368228,3,18425,16.3388751024937,1.9909639407007,29.5722284527904,97.0827978481219,[2.76511452 3.57648035 3.63535889 3.08718094],14.0099907674932,24.0129490346498,High,0.407246551654804,0.180231339281153
6,74.5,133.249672101145,1.99130305740712,4,2,31.8308595907723,95.2516274688419,29.5558344263295,95.4844173199113,[2.12243135 1.95671636 2.08403753 1.89591013],18.8146121508679,51.6518686824453,Low,0.999935657698958,0.0370485751004876
6,75,226.916415331652,1.97710814208003,2,105,124.958853167899,20.2308309615222,29.2436119488945,85.2349505298936,[1.87186227 1.93228743 1.76688288 2.1735174 ],9.66662560200713,50.8608947636666,Medium,0.996622029195319,0.29427580783817
